Listing_Url,Detail_Url,Title,Vehicle_Information,Price,Vehicle_Description,Auction_Date_Time,Actual_Cash_Value,Images_Urls,Video_Url,Images_Names,Video_Name
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37688574~US,2021 JEEP COMPASS LATITUDE,37211184 37211184 37211184 37211184 37211184
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37435854~US,2021 KIA FORTE LXS,36959367 36959367 36959367 36959367 36959367
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37443044~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37450788~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37414884~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37422566~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37415112~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37458076~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37434609~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37430558~US,2021 RAM 2500 TRADESMAN,36954071 36954071 36954071 36954071 36954071
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37462989~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37479486~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37430437~US,2018 CHEVROLET IMPALA LT,36953950 36953950 36953950 36953950 36953950
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37464581~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37419213~US,2018 FORD TAURUS SE,36942731 36942731 36942731 36942731 36942731
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37456243~US,2019 CHEVROLET TRAX LS,36979633 36979633 36979633 36979633 36979633
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37261190~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37263051~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37265734~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37258578~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37271881~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37257336~US,2020 SUBARU CROSSTREK LIMITED,36781368 36781368 36781368 36781368 36781368
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37264298~US,2019 KIA OPTIMA LX,36788330 36788330 36788330 36788330 36788330
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37277058~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37278430~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37262792~US,2023 CHEVROLET CAMARO 1SS,36786825 36786825 36786825 36786825 36786825
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37278548~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37281401~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37283120~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37285154~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37271182~US,2020 CHEVROLET EQUINOX LT,36795194 36795194 36795194 36795194 36795194
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37285484~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37271192~US,2022 RAM 1500 LONGHORN,36795204 36795204 36795204 36795204 36795204
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37286612~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37301244~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37301761~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37304052~US,,
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37305977~US,,
